id,name,category,distance,detail_url
1,롤링파스타 부산경성대점,양식,,
2,물레방아즉석구이,한식,,
3,종가대박집 대연점,한식,,
4,포천할매 순두부,한식,,
5,Ocean View 샤브애진심,한식,,
6,카페 미도리,카페,,
7,남천홍반장,중식,,
8,타코비 대연점,일식,,
9,용소해장국,한식,,
10,완벌집 경성대본점,한식,,
11,카츠백 남구대연점,일식,,
12,편백찜,한식,,
13,지성이해물찜,해산물,554.0,
14,미국할매,양식,324.0,
15,코고미식당,일식,348.0,
16,아일드블루,카페,,
17,파파존스 부산남구점,피자,492.0,
18,우홍백 돼지국밥 본점,한식,,
19,다정한족발 남천점,한식,,
20,버거잇[Burgereat],햄버거,,
21,홍루이젠 부산W스퀘어점,햄버거,,
22,라신당마라탕 부경대경성대점,중식,287.0,
23,진지와찬,분식,,
24,시장을여는사람들,한식,493.0,
25,칠칠켄터키 경성대점,치킨,,
26,홍루이젠 부산대연점,카페,,
27,못골맥주 대연동 본점,양식,,
28,정성숯불두마리치킨 대연점,치킨,,
29,초배집,일식,,
30,원조뚱땡이김치찌개,한식,346.0,
31,고봉민김밥인 부산대연점,분식,,
32,먹고또먹고,분식,,
33,이천밥쌤 경성대부경대점,일식,,
34,다반,카페,482.0,
35,토핑몬스터피자 대연점,피자,,
36,요거스빈 부경대후문점,카페,574.0,
37,BBQ치킨 부산대연점,치킨,,
38,사각치킨,치킨,,
39,블루,카페,,
40,소묵고국밥묵고,한식,,
41,뉴리틀인디아 앤 네팔,양식,,
42,카페길 대연,양식,,
43,먹부심,일식,,
44,치킨신드롬 남천하늘채점,치킨,,
45,플러스82 대연점,카페,486.0,
46,불스피자,피자,,
47,이가국밥 대연점,한식,,
48,자스민커피 부경대점,카페,379.0,
49,카페길 대연점,카페,541.0,
50,청화백돼지국밥 광안리본점,한식,,
51,쿠바,카페,563.0,
52,컴포즈커피 부산대연포레나점,카페,507.0,
53,거누광장 경성대점,한식,,
54,비스트로정재집,양식,506.0,
55,부산분식,분식,,
56,미식가의 고기,한식,,
57,닭두꺼비,고기,,
58,커피로만 경성대점,카페,457.0,
59,돈오락 쪽갈비,한식,,
60,샤브로21 부경대점,맛집,308.0,
61,정성식당,한식,,
62,아부라클럽,일식,,
63,파머스 경성대부경대점,맛집,538.0,
64,BHC치킨 대연경성대점,치킨,414.0,
65,웨스트사이드,카페,376.0,
66,인쌩맥주 부산경성대점,양식,,
67,원조 멸치 칼국수,한식,,
68,양돈산업,한식,,
69,골목,한식,,
70,문화골목 노가다,양식,,
71,시소,한식,461.0,
72,오방가르드,양식,,
73,할리스 국립부경대청운관점,카페,95.0,
74,정육명가우애돈 남천점,한식,,
75,홍루이젠 남천점,햄버거,,
76,술적심,맛집,467.0,
77,칠복장어 남천점,해산물,,
78,시티원그늘집,한식,,
79,닭장을 나온 암탉,치킨,,
80,아미양곱창,고기,,
81,대방집,한식,,
82,신사우물갈비 대연점,한식,,
83,남썬 치킨 대연3호점,치킨,,
