id,name,lat,lon,결과,최종_거리
5,Ocean View 샤브애진심,,,실패,
27,못골맥주 대연동 본점,35.1357692,129.0922198,성공,1400
38,사각치킨,35.1233316,129.087238,성공,2400
43,먹부심,35.1365711,129.0905419,성공,1600
50,청화백돼지국밥 광안리본점,35.1493323,129.1126374,성공,2400
115,담가화로구이 대연점,35.1346528,129.0875239,성공,1700
117,킹스피자 남구점,35.1297883,129.0908535,성공,1700
127,냉삼회관 부산대연점,35.1337857,129.0916596,성공,1300
188,몽벨쉘터 경성대부경대점,35.1349182,129.0996397,성공,546
200,전남친순대 못골시장점,35.1356823,129.0884225,성공,1700
237,까치솥뚜껑닭도리 대연점,35.1303379,129.0917493,성공,1500
257,THE순대,35.1239794,129.1133437,성공,1900
316,궁중해물탕 조씨집 대연본점,35.135579,129.0911886,성공,1500
393,하늘소불고기 대연본점,35.1303105,129.0902201,성공,1700
407,4도C냉면 & 우동,35.1355201,129.0964557,성공,915
454,족스토리,35.1396325,129.1031983,성공,777
473,못골브레드,35.1354931,129.0941501,성공,1100
487,메이드어맛,35.1350672,129.0998339,성공,463
535,거래처,35.1451652,129.1112446,성공,1800
586,박성환돈까스 남천점,35.1441254,129.1100292,성공,1500
640,타코짱 수영점,35.1463803,129.112454,성공,1900
667,맛있는순두부&amp;김치찜 경성대점,35.1362602,129.0993206,성공,589
680,달봉이떡볶이,35.1234056,129.0870761,성공,2400
686,남송,35.1453057,129.1116647,성공,1800
720,불로만숯불바베큐 대연1호점,35.1293747,129.0916939,성공,1600
740,카레온 부산 경성대본점,35.1383895,129.1042123,성공,653
771,아트마네,35.1327509,129.0922849,성공,1200
796,스시하율,35.144024,129.1099442,성공,1500
850,기장첫냉면 광안리본점,35.1493699,129.1125778,성공,2400
855,간빠맥주,35.1489618,129.1142324,성공,2300
903,장수녹차숯불갈비,35.1418345,129.092456,성공,2200
911,남천각,35.1416883,129.1104221,성공,1500
934,회뜰기세,35.129418,129.0877887,성공,1900
935,한양왕족발,35.1238067,129.1105724,성공,1700
